category,date,title,menu,kcal
점심,2017년 09월 11일 월요일,잡곡밥,잡곡밥 호박감자된장국5.6.13. 소고기무우찜5.6.13. 고구마튀김2.5.6. 배추김치9.13. 우유2.,628 kcal
점심,2017년 09월 12일 화요일,현미밥,현미밥 아욱국5.6.9.13. 참치김치볶음5.9.13. 파닭(2)2.5.6.13. 조미김13.우유2. 과일샐러드1.5.11.12.13.,584 kcal
점심,2017년 09월 13일 수요일,장국죽,진미채볶음5.6.13. 찐핫도그(우리밀)1.2.5.6.10. 치즈스틱2.5. 배추김치무침9.13. 장국죽5.6.거봉 우유2.,625 kcal
점심,2017년 09월 14일 목요일,흑미밥,흑미밥 들깨미역국5.6.13. 콩나물무침5. 낙지볶음5.6.13.16.17.18. 열무김치9.13. 망고우유2,565 kcal
점심,2017년 09월 15일 금요일,흑미법,흑미밥 우동국1.5.6.9.13.17.18. 김치치즈떡갈비1.2.5.6.9.10.12.13. 깻잎김치13.우유2 단호박샐러드 1.5.13.,
점심,2017년 09월 18일 월요일,차수수밥,차수수밥 콩나물김치국5.9.13.17.18. 들깨무나물5.13. 포크커틀릿1.2.5.6.10.12.13. 오이김치9.13. 사과우유2.,635 kcal
점심,2017년 09월 19일 화요일,쌀밥,쌀밥 짬뽕국5.6.9.13. 감자조림5.6.13. 닭강정(머스터드)1.2.5.6.12.13. 배추김치9.13. 멜론우유2,646 kcal
점심,2017년 09월 20일 수요일,김치볶음밥,김치볶음밥2.5.6.9.10.13. 미소국5.6.13. 치즈미트번1.2.9.10.12.13 깍두기9.13. 식혜우유2,633 kcal
점심,2017년 09월 21일 목요일,차수수밥,차수수밥 감자탕5.6.9.10.13. 잡채1.5.6.8.10.13. 대하구이2.9.13. 열무김치9.13. 우유2.,637 kcal
점심,2017년 09월 22일 금요일,잡곡밥,잡곡밥 우렁이호박잎된장국5.6.13. 가지나물5.6.13. 햄전1.2.5.6.10. 배추김치9. 에그타르트(수제)1.2.5.6.우유2.,599 kcal
점심,2017년 09월 25일 월요일,기장밥,기장밥 감자옹심이만두국1.5.6.9.13. 돈육오븐고추장구이5.6.10.13. 배추김치9.13. 청국쌈장4.5.6.13. 로메인과깻잎5.6.13. 우유2.,600 kcal
점심,2017년 09월 26일 화요일,찰밥,찰밥5. 설렁탕(국수)1.5.6.13.16. 골뱅이사과무침5.6.13. 참나물바지락전2.5.6. 깍두기9.13. 조미김13. 파인애플/ 우유2.,600 kcal
점심,2017년 09월 27일 수요일,스파게티,스파게티(주식)1.2.5.6.10.12. 닭안심살튀김1.2.5.6.13. 나박김치9.13. 와플(우리쌀)1.2.5.6.13. 배/ 우유2,577 kcal
점심,2017년 09월 28일 목요일,차수수밥,차수수밥 어묵탕1.5.6.8.9.13.17.18. 갈치호박조림13. 회오리감자5. 오이김치9.13. 요플레2.우유2.,620 kcal
점심,2017년 09월 29일 금요일,쌀밥,쌀밥 콩나물두부국5.9.13. 돼지갈비감자찜5.6.10.13. 미역오이초무침13. 김치볶음5.6.9.13. 사과/ 우유2.,614 kcal
점심,2017년 10월 10일 화요일,현미밥,현미밥 어묵국 1.5.6.13. 떡볶이(부식) 1.2.5.6.12.13. 잡채김말이 1.5.6. 열무김치 9.13. 조미김 13. 우유 2.,626 kcal
아침,2017년 10월 11일 수요일,곤드레밥,곤드레밥 5.6.13. 미역국(바지락) 5.6.13.18. 쭈꾸미볶음 5.6.10.13. 깍두기 9.13. 찹쌀팥도우넛 5.13. 대추토마토 12. 우유 2.,599 kcal
