name,date,title,content
배수연,2023-04-17,2023학년도 신입생 및 전입생 어린이 안전용품 배부안내,2023학년도 신입생 및 전입생 어린이 안전용품 배부안내 입니다.
배수연,2023-04-11,2023 5학년 1학기 진로현장체험학습 납부 안내,2023 5학년 1학기 진로현장체험학습 납부 안내 입니다.
배수연,2023-04-11,2023 강남구 메이커 교실 1기 신청 (5~6학년),2023 강남구 메이커 교실 1기 신청 (5~6학년) 안내 입니다.
배수연,2023-04-11,2023학년도 6학년 4반 과학창의력교실 참가 안내,2023학년도 6학년 4반 과학창의력교실 참가 안내 입니다.
배수연,2023-04-11,2023 6학년 1학기 진로현장체험학습 참가 신청 안내,2023 6학년 1학기 진로현장체험학습 참가 신청 안내 입니다.
배수연,2023-04-06,지진 및 산불 발생시 행동요령 안내,지진 및 산불 발생 시 행동요령 안내 입니다.
배수연,2023-04-06,등하굣길 안전사고 안내,등하굣길 안전사고 안내 입니다.
배수연,2023-04-06,"""대치동 학원가에서 마약음료 먹이고 협박"" 관련 범죄예방을 위한 안내","""대치동 학원가에서 마약음료 먹이고 협박"" 관련 범죄예방을 위한 안내 입니다."
배수연,2023-04-06,2023 [강남서초 달달한 학부모 아카데미] 안내,2023 [강남서초 달달한 학부모 아카데미] 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-04-06,2023학년도 1차 학교폭력 실태조사 참여 안내(4~6학년),2023학년도 1차 학교폭력 실태조사 참여 안내(4~6학년) 입니다.
배수연,2023-04-06,부모 동행 비만 캠프 안내(5학년),부모 동행 비만 캠프 안내(5학년) 입니다.
배수연,2023-04-06,2023학년도 한국 과학 창의력 축제(3-6학년),"2023학년도 한국 과학 창의력 축제(3-6학년) 안내 입니다
."
배수연,2023-04-06,2023학년도 4학년 체험학습 신청,2023학년도 4학년 체험학습 신청 안내 입니다.
배수연,2023-04-06,2023학년도 초등학교 신입생 입학준비금 추가 신청 안내,2023학년도 초등학교 신입생 입학준비금 추가 신청 안내 입니다.
배수연,2023-04-06,2023 5학년 1학기 진로현장체험학습 신청 안내,2023 5학년 1학기 진로현장체험학습 신청 안내 입니다.
배수연,2023-03-31,고농도 미세먼지 대응 요령 및 학생 행동수칙 안내,고농도 미세먼지 대응 요령 및 학생 행동수칙 안내 입니다.
배수연,2023-03-31,2023 방과후 학교운동장 학생 개방지침 안내,2023 방과후 학교운동장 학생 개방지침 안내 입니다.
배수연,2023-03-31,2023 4학년 인터넷 스마트폰 이용습관,2023 4학년 인터넷 스마트폰 이용습관 안내 입니다.
배수연,2023-03-31,제2기 강남구 아동정책참여단 모집 안내,제2기 강남구 아동정책참여단 모집 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-03-31,2023 토요가족생태환경교실 운영 안내,2023 토요가족생태환경교실 운영 안내 입니다.
배수연,2023-03-31,녹색학부모회 1365 자원봉사포털 가입 안내,녹색학부모회 1365 자원봉사포털 가입 안내 입니다.
배수연,2023-03-31,마음방역(우리집 가족놀이) 4월 신청 안내,마음방역(우리집 가족놀이) 4월 신청 안내 입니다.
배수연,2023-03-31,학부모회 총회 안건 처리 결과 보고,학부모회 총회 안건 처리 결과 보고 입니다
배수연,2023-03-23,2023학년도 서울대현초등학교 학부모회 임원 당선자 안내,2023학년도 서울대현초등학교 학부모회 임원 당선자 안내 입니다.
배수연,2023-03-22,학교운영위원회 학부모위원 보궐선출을 위한 투표 미실시 안내,학교운영위원회 학부모위원 보궐선출을 위한 투표 미실시 안내 입니다.
배수연,2023-03-22,교과선생님과 함께하는 '6학년 교과보충 점프 up' 프로그램 신청 안내,교과선생님과 함께하는 '6학년 교과보충 점프 up' 프로그램 신청 안내 입니다.
배수연,2023-03-22,담임선생님과 함께하는 '6학년 교과보충 점프 up' 프로그램 신청 안내,담임선생님과 함께하는 '6학년 교과보충 점프 up' 프로그램 신청 안내 입니다.
배수연,2023-03-22,담임선생님과 함께하는 '5학년 교과보충 점프 up' 프로그램 신청 안내,담임선생님과 함께하는 '5학년 교과보충 점프 up' 프로그램 신청 안내 입니다.
배수연,2023-03-22,담임선생님과 함께하는 '4학년 교과보충 점프 up' 프로그램 신청 안내,담임선생님과 함께하는 '4학년 교과보충 점프 up' 프로그램 신청 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-03-22,담임선생님과 함께하는 '3학년 교과보충 점프 up' 프로그램 신청 안내,담임선생님과 함께하는 '3학년 교과보충 점프 up' 프로그램 신청 안내 입니다.
배수연,2023-03-22,2학년 선생님과 함께하는 '교과보충 점프up' 프로그램 신청 안내,2학년 선생님과 함께하는 '교과보충 점프up' 프로그램 신청 안내 입니다.
배수연,2023-03-22,담임선생님과 함께하는 '1학년 교과보충 점프 up' 프로그램 신청 안내,담임선생님과 함께하는 '1학년 교과보충 점프 up' 프로그램 신청 안내 입니다.
배수연,2023-03-22,2023학년도 학부모법정필수연수안내,2023학년도 학부모법정필수연수안내 입니다.
배수연,2023-03-21,"2023학년도 1,2학년 기초학력 협력강사 운영 안내","2023학년도 1,2학년 기초학력 협력강사 운영 안내 입니다."
배수연,2023-03-21,학교운영위원회 학부모위원 보궐선거 입후보자 소개,학교운영위원회 학부모위원 보궐선거 입후보자 소개 입니다.
배수연,2023-03-21,2023학년도 (개인) 학생선수 현황 조사 안내,2023학년도 (개인) 학생선수 현황 조사 안내 입니다.
배수연,2023-03-21,2023년 교내학생과학 발명품경진대회 안내,2023년 교내학생과학 발명품경진대회 안내 입니다.
배수연,2023-03-21,제9기 주민참여예산지역회의 위원 공개모집 공고,제9기 주민참여예산지역회의 위원 공개모집 공고 입니다.
배수연,2023-03-21,2023학년도 6학년 [졸업앨범제작] 의견 조사,2023학년도 6학년 [졸업앨범제작] 의견 조사 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
